"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",467,-0.717225714326347,-2.54568863821588,2.00413433408871e-38,9.14085669777862e-35,6.70013752112185e-35,2319,"tags=47%, list=13%, signal=42%","55299/25983/6880/8667/25804/9136/10200/51639/30836/56949/2752/5303/387338/10978/10600/79084/6430/1653/10713/84549/220717/10946/5433/22889/29063/65083/10772/8487/51121/27339/55052/255308/22868/9816/9326/84294/9277/11340/5393/27340/10360/83743/29081/10248/23246/1968/79954/56342/11218/401466/54955/51388/84881/64794/388524/10412/2971/79922/84769/6169/153443/51068/6203/10856/51001/23223/10419/6218/51602/51367/10728/51042/10907/6629/23378/6134/51406/7919/10438/55651/55272/220064/51118/84844/25879/55319/54555/84365/6637/10480/55759/11157/26121/55164/1983/83939/6059/10557/55505/27292/79833/10556/708/29997/51018/6732/51065/65095/6135/55692/135295/6175/11137/5901/3921/55011/23160/1964/6229/6155/6154/8664/404672/10171/29777/84864/6208/11224/8607/55035/51154/79760/26156/6431/51013/8175/84135/8668/10969/6230/11171/55027/6194/6130/51187/3646/4869/23404/6227/28985/10799/9188/23212/6635/6125/6202/6152/51077/83443/285855/6207/6201/54663/55702/134430/6189/55720/8665/6191/64216/84273/6210/9045/56915/84946/28987/10885/10775/6223/81875/4809/8666/6205/6128/6165/83732/6633/55003/6228/8886/27042/6193/121053/92856/56902/6206/57819/84154/6147/51386/1736/84916/6129/6234/23521/4736/6217/6631/55127/6232/6209/51491/2091/27335/5036/1939/81887/10528"
"GO:0042254","GO:0042254","ribosome biogenesis",320,-0.766283595004344,-2.66878514511206,8.61174987841061e-34,1.96390955977154e-30,1.43952197967537e-30,2036,"tags=48%, list=12%, signal=43%","84549/220717/29063/65083/51121/55052/22868/9816/9326/84294/9277/11340/5393/27340/10360/83743/29081/10248/23246/79954/56342/401466/54955/51388/84881/64794/388524/10412/2971/79922/84769/6169/153443/51068/6203/51001/23223/6218/51602/51367/51042/23378/6134/51406/10438/55651/55272/220064/51118/25879/55319/54555/84365/55759/11157/55164/1983/83939/6059/10557/55505/27292/10556/708/29997/51018/51065/65095/6135/6175/11137/5901/3921/55011/23160/1964/6229/6155/6154/404672/10171/29777/84864/6208/11224/55035/51154/26156/51013/84135/10969/6230/55027/6194/6130/51187/4869/23404/6227/10799/9188/23212/6125/6202/6152/51077/285855/6207/6201/54663/134430/6189/55720/6191/64216/84273/6210/9045/56915/84946/28987/10885/10775/6223/81875/4809/6205/6128/6165/83732/55003/6228/8886/27042/6193/92856/56902/6206/84154/6147/1736/84916/6129/6234/4736/6217/55127/6232/6209/51491/2091/5036/81887/10528"
"GO:0006364","GO:0006364","rRNA processing",222,-0.766229591016844,-2.55698629676305,4.79092577269964e-23,7.28380414976102e-20,5.338940440033e-20,1834,"tags=45%, list=11%, signal=40%","9326/84294/9277/11340/5393/27340/10360/29081/10248/23246/79954/56342/84881/10412/79922/153443/23223/6218/51602/51367/23378/10438/55651/55272/51118/25879/54555/84365/55759/11157/55164/10557/55505/27292/10556/29997/51018/65095/6135/11137/55011/23160/6229/6155/6154/404672/10171/29777/6208/11224/55035/51154/26156/51013/84135/10969/6230/6194/6130/23404/6227/10799/9188/23212/6125/6202/51077/285855/6201/54663/134430/55720/64216/9045/56915/28987/10885/10775/6223/4809/6165/83732/8886/27042/92856/84154/1736/84916/6129/6234/4736/6217/55127/6232/6209/2091/5036/81887/10528"
"GO:0016072","GO:0016072","rRNA metabolic process",260,-0.735237645822636,-2.49486242548816,6.37660046099646e-22,7.27091867565121e-19,5.32949554319072e-19,1834,"tags=42%, list=11%, signal=38%","9326/53918/84294/9277/11340/5393/64425/27340/10360/84186/29081/10248/23246/79954/56342/84881/10412/2971/79922/153443/79002/23223/6218/51602/51367/23378/10438/55651/55272/51118/25879/54555/84365/55759/11157/55164/9555/10557/55505/27292/10556/29997/51018/65095/6135/11137/112495/55011/23160/6229/6155/6154/404672/10171/29777/6208/11224/55035/51154/26156/51013/84135/10969/6230/6194/6130/23404/6227/10799/9188/23212/6125/6202/51077/285855/6201/54663/134430/55720/64216/9045/56915/28987/10885/10775/6223/4809/6165/83732/8886/27042/92856/84154/84172/1736/84916/6129/6234/4736/6217/55127/6232/6209/2091/10849/5036/81887/10528"
"GO:0002181","GO:0002181","cytoplasmic translation",153,-0.81393455177977,-2.63963528020195,3.0875728955716e-21,2.81648399534041e-18,2.06444874028114e-18,1467,"tags=65%, list=8%, signal=60%","26986/6169/56339/6203/4733/6218/7555/6176/6122/6134/6187/51389/6224/6159/2197/10480/1983/8891/6171/6135/200916/6175/10399/3921/6229/6155/6154/8664/6208/11224/8668/6230/6143/6194/6235/6130/3646/6227/28985/6125/6139/6202/6144/85451/6157/6152/6207/6204/6201/6138/6233/6160/6168/6189/10492/8665/6191/6164/6210/9045/6146/6223/6170/6133/8666/6205/6188/6128/6165/6173/6156/6141/6167/6228/8531/1974/6193/6206/6161/6147/6136/9349/51386/6124/6129/6234/6222/23521/4736/6142/6217/6181/6232/6209/25873/6158/27335/7311/1939"
"GO:0034470","GO:0034470","ncRNA processing",419,-0.638940482071686,-2.28065005270413,2.88612640865548e-20,2.19393709164627e-17,1.60812938138417e-17,2975,"tags=45%, list=17%, signal=38%","54974/79050/55039/348180/51504/81556/55006/55644/25926/4086/4686/7015/79074/80324/8568/80746/339487/80135/55124/1662/83480/54482/51106/57647/11056/10785/51096/84705/8846/23481/79693/51095/25940/55299/25983/9136/54931/10200/5303/387338/10978/161829/25896/55174/1653/84549/79691/29063/65083/9836/112970/26610/9326/51493/84294/9277/11340/5393/285381/11102/27340/10360/79828/57570/29081/10248/23246/79954/56342/84881/51531/10412/79897/79922/153443/56339/23223/1787/6218/51602/51367/93587/23378/90353/51002/7247/10438/84520/55651/55272/56986/51118/25879/54555/84365/55759/11157/55164/112858/80745/10557/55505/27292/10556/29997/10667/51018/65095/6135/11137/389421/55011/55621/60487/23160/6229/6155/6154/404672/10171/29777/6208/11224/55035/51154/6428/26156/51013/84135/54517/10969/6230/55596/9631/6194/6130/23404/6227/10799/9188/23212/6125/6202/2926/55726/51077/25821/285855/6201/54663/134430/55720/64216/63892/9045/56915/28987/10885/10775/6223/4809/134637/6165/83732/81890/8886/27042/92856/84154/1736/84916/6129/6234/4736/6217/4234/55127/56931/6232/6209/55250/2091/3735/54901/5036/81887/10528"
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis",104,-0.822238493009979,-2.53764265328035,5.2047553793606e-15,3.39126989789481e-12,2.48575986238335e-12,1806,"tags=60%, list=10%, signal=54%","84294/9277/27340/79954/388524/6169/153443/6203/6218/51602/51406/55272/51118/25879/11157/27292/51065/65095/3921/23160/6229/404672/10171/29777/6208/84135/6230/6194/4869/6227/10799/23212/6202/51077/6207/6201/134430/6189/55720/6191/6210/84946/28987/10885/6223/4809/6205/83732/6228/27042/6193/92856/56902/6206/84916/6234/6217/55127/6232/6209/2091/10528"
"GO:0061564","GO:0061564","axon development",438,0.6255008116286,1.9283222479095,2.7723349463593e-11,1.5805774612931e-08,1.15854418284699e-08,2518,"tags=31%, list=15%, signal=27%","8829/1382/9638/9706/23057/7474/3975/4133/1605/8153/10512/4313/4130/4884/9331/2335/348/5362/1000/26999/10675/333/146760/2263/64283/2664/10501/64919/7504/3913/8633/5076/22865/27023/9353/8831/5979/79600/55701/1949/8506/2043/3800/10371/334/57463/6474/999/2048/84446/4858/7414/23129/8609/6092/223117/26053/2625/7869/27185/9355/4131/56956/349667/5797/11041/6812/83999/60/4897/91624/6586/7473/1495/2049/284656/84628/116448/55558/351/10509/4135/23303/4137/4756/153478/2115/140578/81565/57715/2064/2736/23654/9201/23242/56896/3688/65078/53942/9024/6405/3736/4851/23022/256158/7080/2737/4854/2348/343472/4548/7204/113246/7345/596/6792/219699/170302/144165/4684/288/9423/3908/3371/5800/90249/627/5727/89884/2909/7074/4685/4853/5058"
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis",75,-0.83600371714022,-2.45646275909051,1.73669035196359e-10,8.80116077256217e-08,6.45114451208932e-08,2036,"tags=65%, list=12%, signal=58%","84549/220717/51121/55052/22868/9326/23246/56342/54955/51388/10412/2971/6169/6134/55651/220064/55319/84365/55759/29997/51018/6135/6175/6154/11224/51154/26156/10969/55027/6130/51187/4869/23212/6125/6152/285855/54663/9045/4809/6128/6165/55003/8886/84154/6147/6129/4736/51491/81887"
"GO:0007409","GO:0007409","axonogenesis",390,0.630354331124723,1.93175406033297,3.74446896419353e-10,1.70785229456867e-07,1.25183509792407e-07,3251,"tags=38%, list=19%, signal=32%","8829/1382/9638/9706/7474/3975/4133/1605/8153/10512/4130/4884/9331/2335/348/5362/1000/26999/333/2263/64283/2664/10501/64919/7504/3913/8633/5076/22865/27023/9353/8831/5979/79600/55701/1949/8506/2043/3800/10371/334/57463/6474/999/2048/84446/4858/7414/23129/8609/6092/223117/26053/2625/7869/27185/9355/4131/56956/5797/11041/6812/60/4897/91624/6586/7473/2049/284656/84628/55558/351/10509/4135/23303/4137/4756/153478/2115/140578/81565/57715/2064/2736/23654/9201/23242/56896/3688/65078/53942/9024/6405/4851/23022/256158/7080/2737/4854/343472/7204/113246/7345/596/6792/219699/170302/144165/4684/288/9423/3908/5800/90249/627/5727/89884/2909/7074/4853/5058/57154/4038/673/5080/2932/2051/11023/80128/4915/1267/23077/56920/6324/4781/10154/322/5048/8301/3799/57698/23105/80031/25894/1942/23499/1944/494470/2017/1002"
