"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009117","GO:0009117","nucleotide metabolic process",463,-0.547109356151342,-1.98085436054287,1.55393671016537e-13,4.00100509488456e-10,3.70833645923826e-10,2008,"tags=27%, list=12%, signal=24%","23475/517/226/539/6576/4724/516/4717/6240/25996/4715/1497/3945/56474/9200/4535/125061/3094/5901/53343/2773/4191/107/4190/5165/55711/515/8802/47/3417/7086/3615/5141/4720/100/25961/197322/2023/498/4712/29789/4704/4725/4831/55191/84833/4722/109/54981/4539/9060/5634/9524/6390/3295/5223/30968/1854/509/1737/6391/4199/64087/4728/3251/51181/4706/5160/11332/4538/84532/7298/11164/25874/4833/1503/38/5631/64834/55902/518/4621/4726/60481/3157/113/2180/4597/4710/4200/6888/4719/102157402/23597/4731/4508/55669/10606/10380/9061/9555/4522/4716/9497/2182/3156/4540/51727/205/8226/4541/10165/6241/8833/6996/3304/3418/3303/3735/159/471/7157/3312/5152"
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process",472,-0.540822457541895,-1.96812797730599,1.75444204993842e-13,4.00100509488456e-10,3.70833645923826e-10,2008,"tags=26%, list=12%, signal=24%","23475/517/226/539/6576/4724/516/4717/6240/25996/4715/1497/3945/56474/9200/4535/125061/3094/5901/53343/2773/4191/107/4190/5165/55711/515/8802/47/3417/7086/3615/5141/4720/100/25961/197322/2023/498/4712/29789/4704/4725/4831/55191/84833/4722/109/54981/4539/9060/5634/9524/6390/3295/5223/30968/1854/509/1737/6391/4199/64087/4728/3251/51181/4706/5160/11332/4538/84532/7298/11164/25874/4833/1503/38/5631/64834/55902/518/4621/4726/60481/3157/113/2180/4597/4710/4200/6888/4719/102157402/23597/4731/4508/55669/10606/10380/9061/9555/4522/4716/9497/2182/3156/4540/51727/205/8226/4541/10165/6241/8833/6996/3304/3418/3303/3735/159/471/7157/3312/5152"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",467,-0.538135400127539,-1.95190838183905,5.48426380129263e-13,8.33790906589857e-10,7.72800120210218e-10,2120,"tags=33%, list=12%, signal=30%","29889/7536/9790/6217/55226/6189/10992/9092/8683/23405/88745/83939/115416/55319/6194/23481/6155/11168/10856/54496/10181/25983/27340/54853/25929/6202/5393/8886/10262/6232/10438/5901/22803/51013/51639/8996/55702/10412/8602/26574/55813/51747/6191/6634/51068/23560/23246/11051/91695/9879/79039/6207/708/5303/23450/9416/6230/6210/29081/1207/4927/22889/10556/545/51065/65095/8451/84881/134430/22927/29102/27339/6627/1736/10907/51631/4809/401466/54552/11171/6629/27292/27161/54059/57819/79050/26523/51077/55646/10946/6635/6201/8662/220064/51118/10713/7514/29997/8667/2091/23521/11137/6228/1939/23517/1660/28985/6430/117246/6147/6154/10419/51491/10291/10480/11157/10436/114049/8664/1654/6152/8607/8175/6135/8666/6165/55011/4869/4736/27335/7520/55692/6130/6125/3646/51602/6426/6128/9045/5394/55720/51386/51096/10969/1653/3320/81887/10728/3326/121053/6129/10528/8665/5036"
"GO:0006163","GO:0006163","purine nucleotide metabolic process",405,-0.550657202108682,-1.97056852867686,2.82001917718393e-12,3.21552686678397e-09,2.98031500409754e-09,2008,"tags=28%, list=12%, signal=25%","23475/517/226/539/6576/4724/516/4717/4715/1497/3945/9200/4535/125061/3094/5901/53343/2773/4191/107/4190/5165/55711/515/8802/47/3417/7086/3615/5141/4720/100/25961/197322/2023/498/4712/29789/4704/4725/4831/55191/84833/4722/109/54981/4539/9060/5634/9524/6390/3295/5223/30968/509/1737/6391/4199/64087/4728/3251/51181/4706/5160/11332/4538/84532/11164/25874/4833/38/5631/64834/55902/518/4621/4726/60481/3157/113/2180/4597/4710/4200/6888/4719/23597/4731/4508/55669/10606/10380/9061/9555/4522/4716/9497/2182/3156/4540/205/4541/10165/8833/3304/3418/3303/159/471/7157/3312/5152"
"GO:0072521","GO:0072521","purine-containing compound metabolic process",425,-0.542905497218718,-1.95234290138499,4.90036222297725e-12,4.47011041979985e-09,4.14312730262666e-09,2008,"tags=27%, list=12%, signal=24%","23475/517/226/539/6576/4724/516/4717/56606/4715/1497/3945/9200/4535/125061/3094/5901/53343/2773/4191/107/4190/5165/55711/515/8802/47/3417/7086/3615/5141/4720/100/25961/197322/2023/498/4712/29789/4704/4725/4831/55191/84833/4722/109/54981/4539/9060/5634/9524/6390/3295/5223/30968/509/1737/6391/4199/64087/4728/3251/51181/4706/5160/11332/4538/84532/11164/25874/4833/38/5631/64834/55902/518/4621/4726/60481/3157/113/2180/4597/4710/4200/6888/4719/23597/4731/4508/55669/10606/10380/9061/9555/4522/4716/9497/2182/3156/4540/205/4541/10165/8833/3304/3418/3303/23028/159/471/7157/3312/5152"
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process",214,-0.64496738283893,-2.19410814397443,7.78273560879846e-12,5.59102833276584e-09,5.18205143940909e-09,1997,"tags=38%, list=12%, signal=34%","4711/10476/513/7371/54963/4702/790/517/226/539/6576/4724/516/4717/4715/56474/9200/4535/107/5165/515/47/3615/4720/100/197322/2023/498/4712/4704/4725/4831/5836/84833/4722/109/4539/9060/5634/9524/6390/30968/509/1737/6391/4728/3251/4706/5160/11332/4538/84532/25874/4833/1503/38/5631/64834/55902/518/4726/60481/113/2180/4710/4719/4731/4508/10606/9061/4522/4716/2182/4540/51727/205/4541/10165/8833/159/471"
"GO:0006091","GO:0006091","generation of precursor metabolites and energy",450,-0.527334717288598,-1.90036825929444,8.58083716934026e-12,5.59102833276584e-09,5.18205143940909e-09,2490,"tags=32%, list=14%, signal=28%","3419/2931/27069/25796/4711/10476/513/5019/9016/1327/5213/3588/54205/7384/983/5018/5211/1345/4702/84883/402/5860/226/339123/539/4724/4688/4717/5230/1537/4715/10063/7381/4535/10007/57019/7385/7388/9759/891/314/65084/4191/405/4190/515/5837/84300/8802/47/3417/7264/7086/1528/4720/4512/2023/498/4712/4704/4725/5836/34/4722/3416/387/8473/2821/2629/4539/11331/5634/3658/5563/664/4514/6390/637/7360/5223/30968/509/1737/6391/5566/2631/4199/2597/63976/4728/29997/51085/4706/5160/4538/84532/2820/7262/38/1431/92259/55902/2997/4835/400916/4726/27166/3420/4710/4200/6888/28964/4719/4731/4508/2235/291/9555/4716/4513/5315/4540/4519/205/9945/10975/11232/10131/2992/55526/4541/10165/51341/3418/5236/5214/7157/3939/3421/2936/2271/10728"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process",323,-0.567752567754137,-2.00615694821596,1.17695396076696e-11,6.7101087688226e-09,6.2192725084738e-09,1997,"tags=28%, list=12%, signal=25%","517/226/539/6576/4724/516/4717/4715/1497/9200/4535/3094/5901/53343/2773/107/5165/55711/515/8802/47/3615/5141/4720/100/197322/2023/498/4712/29789/4704/4725/4831/84833/4722/109/4539/9060/9524/6390/3295/30968/509/1737/6391/64087/4728/3251/4706/5160/11332/4538/84532/11164/25874/4833/38/64834/55902/518/4621/4726/60481/3157/113/2180/4597/4710/4719/23597/4731/4508/55669/10606/10380/9061/4522/4716/2182/3156/4540/205/4541/10165/8833/3304/3303/159/471/3312/5152"
"GO:0019693","GO:0019693","ribose phosphate metabolic process",348,-0.559820585950692,-1.97444578711832,3.92168710076254e-11,1.98742387406422e-08,1.84204624522367e-08,1997,"tags=28%, list=12%, signal=25%","517/226/539/6576/4724/516/4717/4715/1497/56474/9200/4535/3094/5901/53343/2773/107/5165/55711/515/8802/47/3615/5141/4720/100/197322/2023/498/4712/29789/4704/4725/4831/5836/84833/4722/109/4539/9060/5634/9524/6390/3295/30968/509/1737/6391/64087/4728/3251/4706/5160/11332/4538/84532/11164/25874/4833/1503/38/5631/64834/55902/518/4621/4726/60481/3157/113/2180/4597/4710/4719/23597/4731/4508/55669/10606/10380/9061/4522/4716/2182/3156/4540/51727/205/4541/10165/8833/3304/3303/159/471/3312/5152"
"GO:0045333","GO:0045333","cellular respiration",227,-0.621582477733293,-2.11901559000874,4.41703922456303e-11,2.0146115903232e-08,1.86724521324686e-08,2490,"tags=52%, list=14%, signal=45%","11315/1329/2109/4705/79751/55967/87178/4694/79085/4707/9650/1350/863/4697/10105/847/4709/2108/56181/54539/1349/55753/7415/514/6389/10514/55847/9377/3091/4714/51142/3419/27069/4711/10476/513/9016/1327/3588/54205/7384/983/5018/1345/4702/84883/402/539/4724/4717/1537/4715/7381/4535/7385/7388/891/65084/4191/4190/515/84300/8802/47/3417/4720/4512/498/4712/4704/4725/4722/3416/387/2629/4539/3658/664/4514/6390/637/30968/509/1737/6391/2631/63976/4728/29997/51085/4706/5160/4538/2820/1431/92259/400916/4726/27166/3420/4710/4719/4731/4508/9555/4716/4513/4540/4519/205/10975/11232/10131/55526/4541/10165/3418/3421/2271"
