"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042254","GO:0042254","ribosome biogenesis",321,-0.652651488894929,-2.0727509264126,4.90332333017976e-10,1.54289885346504e-06,1.13621164425775e-06,2675,"tags=38%, list=14%, signal=33%","6189/6165/51106/23160/57602/51367/9875/65095/112479/115939/404672/3692/9775/9136/79033/85395/9277/79954/26609/65080/23481/29997/55781/26156/10360/65083/55341/6203/84946/6134/51187/55006/9188/84135/84273/57647/91893/220717/6839/55651/388524/6208/130916/57109/23404/1983/4809/10799/6232/8886/705/10775/8568/54475/83732/55505/50628/51388/55035/83743/23378/55003/55027/55164/163859/6175/84154/9816/27079/387338/64216/56342/56902/54955/55052/79922/84769/153443/23223/2752/3921/55178/51042/51116/84864/6206/8780/6217/4931/10248/6193/92342/6223/51154/84916/10528/1736/29777/10171/81887/92856/55272/51491/55127/10557/23212/54555/10885/55794/285855/6209/27042/64794/6234/2091/54663/56915/28987/81875/79066/51441"
"GO:0061564","GO:0061564","axon development",454,0.590460819638725,1.84547744088576,6.61195137546621e-10,1.54289885346504e-06,1.13621164425775e-06,2325,"tags=25%, list=12%, signal=23%","8829/1382/9638/6812/7474/3975/60/23022/4884/9331/2664/23057/79600/8153/10675/5979/4130/334/27185/3320/7504/348/3326/9334/3913/64919/4133/26999/91624/3800/1385/6474/1000/4313/64283/8633/27023/2824/2263/1495/2043/2737/57698/333/56896/10100/10512/5362/9353/5062/7345/223117/2281/2335/3199/4898/83999/89884/9706/2115/107/8301/10154/57463/146760/140578/1605/9024/10501/284656/4135/6091/4038/3688/4897/6405/84446/2736/2932/2017/4854/10509/8506/26128/55558/23129/23111/123016/6792/5532/4131/22876/90249/7414/55701/56963/5797/7204/57154/5879/23162/4548/10371/23369/7080/1949/23011/5728/351/2258/26053/23654/5781/999/3736"
"GO:0007409","GO:0007409","axonogenesis",404,0.591308952753534,1.82898627238549,8.86143815877439e-09,1.37854439623334e-05,1.01517879257538e-05,2289,"tags=25%, list=12%, signal=22%","8829/1382/9638/6812/7474/3975/60/23022/4884/9331/2664/79600/8153/5979/4130/334/27185/3320/7504/348/3326/9334/3913/64919/4133/26999/91624/3800/1385/6474/1000/64283/8633/27023/2263/2043/2737/57698/333/56896/10512/5362/9353/5062/7345/223117/2335/3199/4898/89884/9706/2115/107/8301/10154/57463/140578/1605/9024/10501/284656/4135/6091/4038/3688/4897/6405/84446/2736/2932/2017/4854/10509/8506/26128/55558/23129/23111/123016/6792/5532/4131/90249/7414/55701/56963/5797/7204/57154/5879/10371/7080/1949/23011/5728/351/2258/26053/23654/5781/999"
"GO:0016072","GO:0016072","rRNA metabolic process",261,-0.654102991210719,-2.05372004573622,4.35538816452921e-08,5.08164914096445e-05,3.7421953571547e-05,2671,"tags=36%, list=14%, signal=32%","6165/51106/23160/57602/51367/9875/65095/112479/64425/115939/404672/3692/9775/9136/79033/85395/9277/79954/65080/23481/29997/55781/26156/10360/65083/55006/9188/84135/57647/91893/6839/55651/6208/130916/57109/23404/4809/10799/6232/8886/705/10775/8568/9014/83732/55505/50628/55035/23378/55164/163859/84154/27079/387338/64216/56342/79922/153443/162989/23223/55178/8780/6217/4931/10248/92342/6223/51154/84916/10528/1736/29777/10171/81887/92856/55272/55127/10557/23212/10849/54555/10885/285855/6209/27042/6234/2091/54663/56915/53918/4141/28987/79066/51441/84172"
"GO:0031346","GO:0031346","positive regulation of cell projection organization",320,0.595883293359432,1.81052945020212,6.43108534044674e-08,6.00277505677299e-05,4.4205249761176e-05,2606,"tags=29%, list=14%, signal=26%","8829/482/1382/9638/4192/100506658/7474/1627/2664/8153/3673/5979/3655/27185/3320/348/27067/10152/6474/26259/54443/51657/10801/2043/2823/57698/10097/23316/5362/9353/2281/2335/4898/4920/8850/7804/54664/10154/57463/140578/9897/139818/2332/9148/4135/6091/79625/4058/65009/2932/53904/816/57118/91752/23613/55558/23129/4076/9001/8100/950/64175/6792/4131/9738/56963/5898/10096/55329/1742/57154/5753/6624/55835/55704/5879/375790/23369/3675/23011/3064/26053/23654/65981/2059/54874/6376/10109/5290/5048/989/673/9139/5176"
"GO:0034470","GO:0034470","ncRNA processing",423,-0.576126573875368,-1.8559557318134,1.43709594760408e-07,0.000111782113124471,8.23178643671459e-05,2690,"tags=34%, list=14%, signal=30%","129450/6165/51106/23160/57602/7247/144233/51367/9875/65095/112479/115939/115708/79693/56986/404672/3692/9775/9136/79033/55726/85395/9277/79954/23536/113179/23587/65080/23481/55124/80324/29997/55781/26156/10360/65083/57570/81556/6428/24140/83480/55006/9188/84135/348180/57647/91893/6839/55520/55651/152992/6208/51531/51091/4234/130916/55621/57109/23404/10667/4809/10799/6232/8886/705/138716/10775/8568/10785/84705/83732/3735/55505/50628/8846/4086/91801/55035/112970/23378/90353/55164/9836/163859/84154/27079/112858/387338/64216/56342/26995/79922/339175/55798/153443/6301/23223/84520/81890/55178/79691/54522/63892/8780/6217/4931/10248/92342/6223/56931/80745/51154/84916/10528/1736/29777/10171/81887/92856/55272/55127/10557/23212/114034/54555/10885/285855/6209/27042/6234/2091/54663/7737/11102/55250/84872/27304/10978/56915/28987/54901/55596/79066/51441"
"GO:0060627","GO:0060627","regulation of vesicle-mediated transport",461,0.549376627044591,1.72363805645273,1.69908937813605e-07,0.000113280716110871,8.34214559340482e-05,2605,"tags=23%, list=14%, signal=20%","2719/6850/8829/6386/6812/7474/60/51652/3092/3673/10675/2771/128637/9829/5865/23208/6382/5579/348/5869/9805/11031/9498/1191/302/6281/5337/5575/274/5595/201475/28964/5873/3685/3598/57534/967/5594/10815/961/11037/88455/5962/55198/8291/8301/5872/2332/23327/3134/55823/9846/404636/23317/7879/65009/51201/80230/164/57118/9765/4905/79890/9001/5532/22876/112755/6385/94121/5898/1742/1950/7251/6311/53407/9711/8766/6853/5879/51479/7052/26060/5414/23011/6814/20/5770/11267/6810/192683/84896/857/6857/112476/9495/2619/8938/4043/27445/5724/5359/3566/673/488/2181/4851"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",469,-0.547904340586151,-1.76033821308196,2.21284102876142e-07,0.00012909161351537,9.50648152487638e-05,2675,"tags=32%, list=14%, signal=28%","6189/6165/51106/23160/51340/8175/5433/57602/51367/57819/9875/65095/112479/115939/404672/3692/9775/9136/79033/26831/85395/9277/79954/26609/9129/135295/10078/65080/23481/29997/79084/55781/25804/26156/79833/10360/65083/10856/96764/55341/6203/84946/6134/51187/55006/9188/84135/84273/8668/57647/91893/220717/6839/56949/55651/388524/84844/10419/6208/130916/57109/23404/1983/4809/25980/10799/6232/8886/705/10775/8568/54475/83732/55505/50628/51388/6631/55035/83743/23378/55003/55027/55164/163859/6175/84154/55702/23521/9816/27079/8666/387338/64216/56342/56902/54955/55052/6633/79922/84769/27335/26121/153443/23223/2752/3921/55178/51042/51116/84864/6206/8780/6217/4931/79760/10248/6193/92342/6223/51154/84916/10528/1736/83443/29777/10171/81887/92856/55272/51491/55127/10557/23212/54555/10885/55794/285855/6209/27042/64794/6234/2091/54663/10978/56915/11218/28987/81875/1939/79066/51441"
"GO:0006364","GO:0006364","rRNA processing",223,-0.669763106813178,-2.05703680487773,5.77904210747713e-07,0.000299675439062175,0.000220685058256291,2671,"tags=39%, list=14%, signal=34%","6165/51106/23160/57602/51367/9875/65095/112479/115939/404672/3692/9775/9136/79033/85395/9277/79954/65080/23481/29997/55781/26156/10360/65083/55006/9188/84135/57647/91893/6839/55651/6208/130916/57109/23404/4809/10799/6232/8886/705/10775/8568/83732/55505/50628/55035/23378/55164/163859/84154/27079/387338/64216/56342/79922/153443/23223/55178/8780/6217/4931/10248/92342/6223/51154/84916/10528/1736/29777/10171/81887/92856/55272/55127/10557/23212/54555/10885/285855/6209/27042/6234/2091/54663/56915/28987/79066/51441"
"GO:0006163","GO:0006163","purine nucleotide metabolic process",413,0.543707128905006,1.68493696635771,1.53569467952323e-06,0.000716708706933489,0.000527794013541403,2359,"tags=22%, list=13%, signal=20%","23475/1728/3418/5152/4719/3157/7114/3312/23530/23057/9061/3295/54981/9200/11001/113/84649/5164/4200/5160/2982/3156/64087/9497/9540/4540/84532/122622/38/55902/79071/481/55669/107/272/5465/5167/53354/160428/4541/8654/3417/8833/79646/50808/9060/80221/4731/4967/5165/2766/6820/6999/84618/4720/2983/159/2180/215/4508/4538/8564/200035/7157/10165/4594/27233/4597/4539/952/83666/1738/4710/79877/368/4535/8460/283927/53343/6389/260425/523/5150/4976/349565/7040/4833/6095/79993/9414/4509"
"GO:0050770","GO:0050770","regulation of axonogenesis",146,0.673368581113233,1.89815998640009,2.18137059461559e-06,0.000880168592504424,0.000648168090518409,2547,"tags=34%, list=14%, signal=29%","8829/1382/7474/2664/8153/5979/27185/7504/4133/6474/1000/2043/57698/10512/5362/9353/5062/223117/2335/4898/9706/10154/57463/140578/9024/10501/4135/6091/4038/6405/84446/2932/10509/55558/23129/23111/6792/4131/56963/57154/10371/1949/5728/2258/23654/999/5048/9856/673"
"GO:0044057","GO:0044057","regulation of system process",426,0.539568106994841,1.67332958690817,2.26312901436749e-06,0.000880168592504424,0.000648168090518409,3201,"tags=27%, list=17%, signal=23%","10659/482/3488/5152/7168/6505/6546/2629/27347/3673/2013/10162/255743/18/309/6781/3320/348/817/10874/2034/7068/6474/3728/4313/2982/5090/5575/274/23316/6330/7220/8912/2281/4898/2643/481/776/27345/5465/1605/3757/10021/2332/22839/5318/8654/1756/9569/1525/2017/816/801/57555/818/23613/2257/27086/120/6198/1824/5025/112755/154/58494/952/9759/6327/1131/1742/10391/340481/5728/10142/351/2258/6717/5781/6584/857/3736/60675/7132/1829/65125/153/5724/121643/488/4851/4660/10765/3269/11076/1739/9451/6093/5566/659/4881/136319/9475/90523/11149/3815/85446/3784/1136/4204/2621/10062/6508/84866/26011"
