"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05020","hsa05020","Prion disease",244,-0.670252122144493,-2.29775623490654,2.72864671519074e-15,9.08639356158518e-13,7.06575886249393e-13,2409,"tags=43%, list=14%, signal=37%","4711/10476/513/2905/1327/54205/5714/7846/7384/1345/4702/5688/116444/517/539/4724/4688/516/4717/6263/581/1537/4715/5533/7381/4535/7385/1965/7388/5708/515/4720/4512/498/4712/4704/4725/5580/5594/4722/776/5719/5718/4539/1459/5603/4514/6390/292/5689/5702/7417/509/11047/6391/5566/7419/5685/5706/4728/6647/4706/5691/5717/4538/5532/5709/5701/9861/518/5692/4726/5684/5704/10213/1385/4710/4719/5694/4731/4508/291/5710/5567/4716/4513/5690/4540/5705/4519/10975/5686/5700/5707/203068/4541/3304/3303/10963/84790/5695/7416/3312/10376"
"hsa05016","hsa05016","Huntington disease",283,-0.640951553031347,-2.22507723966815,1.57719885854388e-14,2.62603609947556e-12,2.04205746948313e-12,2409,"tags=37%, list=14%, signal=32%","4711/5432/10476/513/5435/1327/54205/5714/7846/7384/5468/1345/4702/5688/517/539/4724/516/160/4717/581/1537/4715/127602/7381/4535/7385/55062/7388/5430/5437/5708/515/8218/4720/4512/498/4712/4704/4725/22863/4722/5719/5718/5331/4539/3092/4514/6390/292/5689/5702/7417/509/6507/11047/6391/1213/7419/5685/5706/4728/6647/4706/5691/5717/4538/1211/5709/5701/9861/518/5692/4726/5684/5704/10213/1385/4710/4719/5694/4731/4508/291/5710/4716/4513/5690/4540/5705/4519/5431/10975/5686/5700/5707/203068/4541/7157/84790/5695/7416/10540/10376"
"hsa03010","hsa03010","Ribosome",129,-0.739229401717844,-2.35592485786204,3.039974995028e-13,3.37437224448108e-11,2.62397841676101e-11,3354,"tags=64%, list=19%, signal=52%","6206/6166/51121/6218/51318/64960/6222/7311/6208/6204/6159/65003/6209/11224/6203/6229/6205/6170/6134/6227/6224/6193/6181/6168/6217/65005/6189/6142/6136/6194/6155/6231/6157/6144/6202/6232/11222/6233/6191/6207/6230/6210/28998/51065/64969/29074/6160/29093/219927/6201/51023/6188/6133/6161/6141/23521/2197/6228/6167/6147/6154/64968/6164/6138/6152/6135/64965/6158/6165/4736/6173/6122/6130/6125/6139/6143/6156/200916/6128/9045/6124/9349/6129"
"hsa05012","hsa05012","Parkinson disease",249,-0.627302223461524,-2.14793998984375,3.77420311333421e-12,3.14202409185073e-10,2.4432999102111e-10,2422,"tags=41%, list=14%, signal=36%","808/4711/10476/513/1327/54205/5714/7846/7384/7345/1345/4702/5688/517/539/4724/516/4717/6263/581/1537/4715/7381/4535/7385/1965/7388/2773/6233/5708/515/805/4720/4512/498/4712/4704/4725/4722/7295/5719/4780/5718/4539/4514/6390/292/5689/5702/7417/509/11047/6391/5566/7419/5685/5706/4728/6647/4706/5691/7317/5717/4538/5709/801/5701/9861/518/5692/4726/5684/5704/10213/4710/4719/5694/4731/4508/55669/291/5710/5567/4716/4513/5690/4540/5705/4519/10975/5686/10131/5700/5707/203068/4541/7327/7157/84790/5695/7416/10376"
"hsa05014","hsa05014","Amyotrophic lateral sclerosis",335,-0.571483090414783,-2.03251130544623,8.01491899600303e-12,5.33793605133802e-10,4.15088436424578e-10,2409,"tags=37%, list=14%, signal=32%","4711/10476/513/2905/1327/54205/5714/7846/53371/7384/55706/29979/1345/4702/2521/5688/10280/9818/517/539/4724/516/4717/10452/55746/581/1537/4715/4928/5533/127602/7381/4535/7385/55062/1965/7388/23435/5708/515/5216/4720/4512/498/4712/11273/5861/4704/79023/4725/220988/22863/4927/4722/23511/5719/5718/4539/5603/4514/6390/637/310/5689/5702/509/11047/6391/8878/5685/5706/6311/4728/79902/6647/2733/311/4706/5691/5717/4538/5532/5709/81929/60/5701/9861/518/9896/5692/400916/3178/4726/5684/5704/10213/4710/4719/5694/4731/4508/5710/4716/4513/5690/4540/5705/4519/9631/10975/5686/71/5700/5707/56893/203068/4541/10189/7157/84790/5695/7416/10540/10376"
"hsa00190","hsa00190","Oxidative phosphorylation",124,-0.681310776309821,-2.15208998826731,2.50709777264862e-09,1.22210597858557e-07,9.50333714974078e-08,2409,"tags=48%, list=14%, signal=41%","4711/10476/513/1327/54205/7384/525/1345/4702/517/539/4724/516/4717/1537/4715/10312/10063/7381/4535/27068/7385/7388/515/4720/4512/498/4712/4704/51382/4725/4722/4539/4514/6390/9114/509/6391/528/64077/4728/4706/4538/518/4726/5464/4710/4719/529/4731/4508/4716/4513/4540/4519/51606/10975/23545/4541"
"hsa05010","hsa05010","Alzheimer disease",351,-0.534818031818824,-1.91379291060436,2.56899154657627e-09,1.22210597858557e-07,9.50333714974078e-08,2453,"tags=32%, list=14%, signal=28%","1457/808/4711/10476/513/2905/1327/54205/5714/7846/7384/1345/4702/5688/517/539/4724/516/4717/8325/1499/8471/6263/1537/4715/5533/1147/7481/5604/7381/4535/7385/55062/1965/7388/10297/5708/515/805/369/57142/4720/4512/498/4712/4704/4725/22863/5594/4722/3416/776/5719/5605/5718/5331/4539/1459/4514/6390/637/292/5689/5702/7417/509/11047/6391/7419/2597/5685/5706/4728/4706/5691/5717/4538/5532/5709/801/5701/9861/518/5692/4726/5684/5704/10213/4710/4719/5694/4041/8883/4731/4508/291/5710/4716/4513/5690/4540/5705/4519/10975/5686/5700/5707/203068/25825/4541/84790/5695/7416/10376"
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases",430,-0.497275151968572,-1.79857054529247,4.37850210934796e-09,1.82255150301609e-07,1.4172519985521e-07,2422,"tags=30%, list=14%, signal=26%","808/4711/10476/513/2905/1327/54205/5714/7846/7384/7345/1345/4702/2521/5688/10280/517/539/4724/516/4717/8325/1499/10452/6263/581/1537/4715/5533/7481/5604/127602/7381/4535/7385/55062/1965/7388/23435/6233/10297/5708/515/805/369/6712/4720/4512/498/4712/11273/5861/4704/4725/22863/5594/4722/776/5719/5605/5718/5331/4539/3092/1459/5603/4514/6390/637/292/5689/5702/7417/509/11047/6391/7419/8878/5685/5706/6311/4728/6647/4706/5691/7317/5717/4538/5532/5709/801/5701/9861/518/9896/5692/4726/5684/5704/10213/4710/4719/5694/4041/4731/4508/55669/291/5710/4716/4513/5690/4540/5705/4519/10975/5686/10131/5700/5707/203068/4541/7327/84790/5695/7416/10540/10376"
"hsa03050","hsa03050","Proteasome",43,-0.852787148049255,-2.30275594348283,2.46514307794078e-08,9.1210293883809e-07,7.09269236460156e-07,1529,"tags=70%, list=9%, signal=64%","9491/5708/5721/5719/5718/5689/5702/10197/11047/5685/5706/5691/5717/5709/5701/9861/51371/5692/23198/5684/5704/10213/5694/5710/5690/5705/5686/5700/5707/5695"
"hsa04145","hsa04145","Phagosome",124,-0.625601746349312,-1.97611912474529,5.79092151838834e-07,1.92837686562332e-05,1.49954388791951e-05,2353,"tags=26%, list=14%, signal=22%","3673/7846/525/3134/4688/23673/55176/9554/5878/10312/5869/949/1783/23480/8411/51143/51382/9114/1781/528/3133/60/811/529/4074/51606/71/23545/203068/84790/10376/7037"
