"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042254","ribosome biogenesis",321,-0.549041115388331,-2.52235180669422,1e-10,1.8278125e-08,1.21085526315789e-08,4453,"tags=45%, list=18%, signal=38%","ENSG00000147679/ENSG00000065268/ENSG00000007376/ENSG00000261236/ENSG00000173113/ENSG00000173545/ENSG00000132382/ENSG00000136942/ENSG00000198242/ENSG00000168228/ENSG00000275464/ENSG00000171311/ENSG00000142937/ENSG00000164163/ENSG00000148688/ENSG00000146909/ENSG00000142534/ENSG00000085721/ENSG00000119616/ENSG00000148843/ENSG00000182774/ENSG00000273611/ENSG00000198755/ENSG00000188917/ENSG00000145425/ENSG00000182899/ENSG00000029639/ENSG00000163811/ENSG00000055483/ENSG00000167272/ENSG00000142207/ENSG00000129347/ENSG00000196678/ENSG00000007520/ENSG00000272047/ENSG00000242372/ENSG00000141543/ENSG00000114767/ENSG00000117419/ENSG00000160256/ENSG00000227057/ENSG00000115761/ENSG00000182583/ENSG00000135900/ENSG00000100029/ENSG00000105373/ENSG00000058729/ENSG00000171490/ENSG00000107833/ENSG00000165271/ENSG00000041802/ENSG00000170889/ENSG00000135521/ENSG00000147403/ENSG00000137876/ENSG00000171103/ENSG00000165732/ENSG00000164338/ENSG00000084092/ENSG00000150990/ENSG00000255561/ENSG00000213553/ENSG00000101945/ENSG00000145912/ENSG00000288920/ENSG00000164587/ENSG00000122085/ENSG00000148300/ENSG00000130713/ENSG00000100664/ENSG00000100138/ENSG00000124787/ENSG00000177954/ENSG00000088205/ENSG00000112578/ENSG00000105171/ENSG00000160214/ENSG00000073536/ENSG00000124784/ENSG00000182117/ENSG00000179409/ENSG00000132603/ENSG00000198000/ENSG00000105447/ENSG00000132275/ENSG00000111845/ENSG00000155393/ENSG00000144736/ENSG00000143751/ENSG00000089157/ENSG00000197498/ENSG00000135763/ENSG00000166133/ENSG00000117481/ENSG00000162851/ENSG00000130810/ENSG00000115946/ENSG00000116922/ENSG00000242485/ENSG00000278619/ENSG00000254858/ENSG00000151304/ENSG00000052749/ENSG00000135821/ENSG00000168028/ENSG00000171861/ENSG00000142684/ENSG00000122140/ENSG00000170854/ENSG00000112306/ENSG00000101782/ENSG00000105193/ENSG00000143748/ENSG00000172336/ENSG00000083845/ENSG00000171806/ENSG00000105372/ENSG00000053372/ENSG00000141076/ENSG00000101361/ENSG00000130826/ENSG00000146109/ENSG00000120158/ENSG00000001497/ENSG00000136718/ENSG00000177971/ENSG00000048162/ENSG00000119285/ENSG00000152464/ENSG00000179041/ENSG00000105671/ENSG00000065183/ENSG00000182810/ENSG00000146223/ENSG00000115268/ENSG00000117597/ENSG00000125485/ENSG00000233927/ENSG00000105202/ENSG00000133316/ENSG00000077348/ENSG00000141101/ENSG00000143319/ENSG00000127804/ENSG00000198492"
"GO:0006364","rRNA processing",223,-0.567771953717167,-2.50873067322521,1e-10,1.8278125e-08,1.21085526315789e-08,3629,"tags=42%, list=15%, signal=36%","ENSG00000119616/ENSG00000148843/ENSG00000182774/ENSG00000273611/ENSG00000198755/ENSG00000188917/ENSG00000182899/ENSG00000029639/ENSG00000163811/ENSG00000055483/ENSG00000167272/ENSG00000142207/ENSG00000129347/ENSG00000196678/ENSG00000007520/ENSG00000272047/ENSG00000242372/ENSG00000141543/ENSG00000114767/ENSG00000117419/ENSG00000160256/ENSG00000227057/ENSG00000115761/ENSG00000135900/ENSG00000100029/ENSG00000105373/ENSG00000058729/ENSG00000171490/ENSG00000107833/ENSG00000165271/ENSG00000171103/ENSG00000165732/ENSG00000164338/ENSG00000150990/ENSG00000255561/ENSG00000101945/ENSG00000145912/ENSG00000164587/ENSG00000122085/ENSG00000148300/ENSG00000130713/ENSG00000100138/ENSG00000124787/ENSG00000177954/ENSG00000088205/ENSG00000112578/ENSG00000105171/ENSG00000160214/ENSG00000124784/ENSG00000182117/ENSG00000179409/ENSG00000198000/ENSG00000132275/ENSG00000144736/ENSG00000143751/ENSG00000197498/ENSG00000166133/ENSG00000117481/ENSG00000162851/ENSG00000130810/ENSG00000278619/ENSG00000151304/ENSG00000052749/ENSG00000171861/ENSG00000101782/ENSG00000105193/ENSG00000143748/ENSG00000172336/ENSG00000171806/ENSG00000105372/ENSG00000053372/ENSG00000141076/ENSG00000101361/ENSG00000130826/ENSG00000146109/ENSG00000120158/ENSG00000001497/ENSG00000136718/ENSG00000177971/ENSG00000119285/ENSG00000152464/ENSG00000179041/ENSG00000105671/ENSG00000065183/ENSG00000146223/ENSG00000115268/ENSG00000117597/ENSG00000233927/ENSG00000105202/ENSG00000133316/ENSG00000077348/ENSG00000141101/ENSG00000127804/ENSG00000198492"
"GO:0016072","rRNA metabolic process",261,-0.537453815987516,-2.40976316651762,1e-10,1.8278125e-08,1.21085526315789e-08,3629,"tags=39%, list=15%, signal=33%","ENSG00000119616/ENSG00000148843/ENSG00000182774/ENSG00000273611/ENSG00000198755/ENSG00000188917/ENSG00000182899/ENSG00000029639/ENSG00000163811/ENSG00000055483/ENSG00000167272/ENSG00000142207/ENSG00000129347/ENSG00000196678/ENSG00000137054/ENSG00000007520/ENSG00000272047/ENSG00000242372/ENSG00000141543/ENSG00000114767/ENSG00000117419/ENSG00000160256/ENSG00000227057/ENSG00000115761/ENSG00000135900/ENSG00000100029/ENSG00000105373/ENSG00000058729/ENSG00000171490/ENSG00000107833/ENSG00000165271/ENSG00000171103/ENSG00000165732/ENSG00000164338/ENSG00000150990/ENSG00000255561/ENSG00000101945/ENSG00000145912/ENSG00000164587/ENSG00000122085/ENSG00000148300/ENSG00000130713/ENSG00000100138/ENSG00000124787/ENSG00000177954/ENSG00000088205/ENSG00000112578/ENSG00000105171/ENSG00000160214/ENSG00000115750/ENSG00000124784/ENSG00000182117/ENSG00000179409/ENSG00000198000/ENSG00000132275/ENSG00000144736/ENSG00000143751/ENSG00000197498/ENSG00000166133/ENSG00000117481/ENSG00000162851/ENSG00000130810/ENSG00000278619/ENSG00000151304/ENSG00000160570/ENSG00000052749/ENSG00000171861/ENSG00000101782/ENSG00000105193/ENSG00000143748/ENSG00000172336/ENSG00000171806/ENSG00000105372/ENSG00000053372/ENSG00000141076/ENSG00000101361/ENSG00000130826/ENSG00000146109/ENSG00000120158/ENSG00000001497/ENSG00000136718/ENSG00000177971/ENSG00000119285/ENSG00000152464/ENSG00000179041/ENSG00000117877/ENSG00000105671/ENSG00000065183/ENSG00000146223/ENSG00000115268/ENSG00000117597/ENSG00000233927/ENSG00000105202/ENSG00000133316/ENSG00000077348/ENSG00000152684/ENSG00000166986/ENSG00000141101/ENSG00000127804/ENSG00000198492/ENSG00000125630"
"GO:0008033","tRNA processing",133,-0.563439261767915,-2.33772644389095,1e-10,1.8278125e-08,1.21085526315789e-08,3338,"tags=40%, list=13%, signal=35%","ENSG00000188917/ENSG00000162971/ENSG00000186666/ENSG00000167272/ENSG00000166166/ENSG00000196449/ENSG00000104047/ENSG00000065457/ENSG00000213638/ENSG00000170291/ENSG00000177192/ENSG00000126814/ENSG00000068438/ENSG00000110060/ENSG00000171103/ENSG00000174177/ENSG00000141642/ENSG00000155275/ENSG00000136932/ENSG00000109618/ENSG00000037897/ENSG00000104907/ENSG00000145982/ENSG00000124787/ENSG00000164967/ENSG00000105171/ENSG00000160193/ENSG00000130299/ENSG00000065427/ENSG00000100601/ENSG00000137760/ENSG00000198841/ENSG00000142544/ENSG00000168806/ENSG00000172315/ENSG00000167112/ENSG00000087995/ENSG00000165055/ENSG00000031698/ENSG00000170270/ENSG00000213339/ENSG00000151576/ENSG00000134461/ENSG00000115970/ENSG00000172336/ENSG00000141994/ENSG00000138050/ENSG00000152464/ENSG00000163684/ENSG00000134759/ENSG00000124217/ENSG00000172409/ENSG00000145996"
"GO:0034470","ncRNA processing",423,-0.479689938834981,-2.25801868570402,1e-10,1.8278125e-08,1.21085526315789e-08,3629,"tags=36%, list=15%, signal=31%","ENSG00000119616/ENSG00000148843/ENSG00000135297/ENSG00000182774/ENSG00000139546/ENSG00000273611/ENSG00000198755/ENSG00000188917/ENSG00000162971/ENSG00000182899/ENSG00000029639/ENSG00000163811/ENSG00000055483/ENSG00000211460/ENSG00000186666/ENSG00000167272/ENSG00000142207/ENSG00000129347/ENSG00000196678/ENSG00000007520/ENSG00000166166/ENSG00000196449/ENSG00000104047/ENSG00000272047/ENSG00000242372/ENSG00000141543/ENSG00000114767/ENSG00000117419/ENSG00000064102/ENSG00000160256/ENSG00000227057/ENSG00000115761/ENSG00000065457/ENSG00000213638/ENSG00000170291/ENSG00000135900/ENSG00000100029/ENSG00000197181/ENSG00000177192/ENSG00000105373/ENSG00000058729/ENSG00000171490/ENSG00000107833/ENSG00000165271/ENSG00000126814/ENSG00000138614/ENSG00000112081/ENSG00000068438/ENSG00000110060/ENSG00000171103/ENSG00000165732/ENSG00000164338/ENSG00000174177/ENSG00000150990/ENSG00000255561/ENSG00000101945/ENSG00000141642/ENSG00000145912/ENSG00000155275/ENSG00000164587/ENSG00000136932/ENSG00000109618/ENSG00000037897/ENSG00000122085/ENSG00000104907/ENSG00000148300/ENSG00000130713/ENSG00000145982/ENSG00000100138/ENSG00000124787/ENSG00000177954/ENSG00000088205/ENSG00000112578/ENSG00000164967/ENSG00000105171/ENSG00000160214/ENSG00000160193/ENSG00000130299/ENSG00000124784/ENSG00000065427/ENSG00000182117/ENSG00000179409/ENSG00000100601/ENSG00000170365/ENSG00000137760/ENSG00000198000/ENSG00000198841/ENSG00000132275/ENSG00000142544/ENSG00000144736/ENSG00000168806/ENSG00000143751/ENSG00000197498/ENSG00000166133/ENSG00000172315/ENSG00000117481/ENSG00000162851/ENSG00000130810/ENSG00000167112/ENSG00000278619/ENSG00000087995/ENSG00000165055/ENSG00000151304/ENSG00000031698/ENSG00000052749/ENSG00000170270/ENSG00000213339/ENSG00000171861/ENSG00000151576/ENSG00000134461/ENSG00000115970/ENSG00000101782/ENSG00000105193/ENSG00000143748/ENSG00000172336/ENSG00000171806/ENSG00000105372/ENSG00000141994/ENSG00000138050/ENSG00000053372/ENSG00000141076/ENSG00000101361/ENSG00000130826/ENSG00000146109/ENSG00000120158/ENSG00000001497/ENSG00000136718/ENSG00000177971/ENSG00000119285/ENSG00000152464/ENSG00000179041/ENSG00000132773/ENSG00000105671/ENSG00000065183/ENSG00000146223/ENSG00000115268/ENSG00000117597/ENSG00000233927/ENSG00000105202/ENSG00000133316/ENSG00000125352/ENSG00000163684/ENSG00000134759/ENSG00000135482/ENSG00000124217/ENSG00000172409/ENSG00000077348/ENSG00000141101/ENSG00000145996/ENSG00000033030/ENSG00000127804/ENSG00000198492"
"GO:0006399","tRNA metabolic process",195,-0.516369804537246,-2.22268018110119,1e-10,1.8278125e-08,1.21085526315789e-08,3338,"tags=36%, list=13%, signal=32%","ENSG00000188917/ENSG00000162971/ENSG00000186666/ENSG00000167272/ENSG00000166166/ENSG00000177700/ENSG00000196449/ENSG00000137513/ENSG00000104047/ENSG00000065457/ENSG00000213638/ENSG00000170291/ENSG00000177192/ENSG00000106105/ENSG00000126814/ENSG00000068438/ENSG00000110060/ENSG00000171103/ENSG00000174177/ENSG00000141642/ENSG00000155275/ENSG00000134440/ENSG00000136932/ENSG00000109618/ENSG00000037897/ENSG00000116120/ENSG00000104907/ENSG00000179115/ENSG00000130713/ENSG00000145982/ENSG00000124787/ENSG00000164967/ENSG00000105171/ENSG00000160193/ENSG00000130299/ENSG00000204394/ENSG00000113407/ENSG00000065427/ENSG00000100601/ENSG00000136628/ENSG00000137760/ENSG00000198841/ENSG00000142544/ENSG00000168806/ENSG00000172315/ENSG00000130348/ENSG00000167112/ENSG00000087995/ENSG00000165055/ENSG00000031698/ENSG00000170270/ENSG00000213339/ENSG00000151576/ENSG00000134461/ENSG00000115970/ENSG00000172336/ENSG00000141994/ENSG00000247626/ENSG00000110619/ENSG00000138050/ENSG00000162396/ENSG00000152464/ENSG00000168495/ENSG00000163684/ENSG00000134759/ENSG00000124217/ENSG00000172409/ENSG00000166986/ENSG00000145996/ENSG00000134684/ENSG00000196305"
"GO:0022613","ribonucleoprotein complex biogenesis",469,-0.46401242913001,-2.19730298921057,1e-10,1.8278125e-08,1.21085526315789e-08,3835,"tags=35%, list=15%, signal=30%","ENSG00000083635/ENSG00000146909/ENSG00000110107/ENSG00000169249/ENSG00000142534/ENSG00000085721/ENSG00000119616/ENSG00000148843/ENSG00000137656/ENSG00000182774/ENSG00000139546/ENSG00000273611/ENSG00000198755/ENSG00000188917/ENSG00000145425/ENSG00000182899/ENSG00000029639/ENSG00000163811/ENSG00000101343/ENSG00000104897/ENSG00000144231/ENSG00000055483/ENSG00000167272/ENSG00000204392/ENSG00000142207/ENSG00000129347/ENSG00000196678/ENSG00000007520/ENSG00000272047/ENSG00000242372/ENSG00000141543/ENSG00000114767/ENSG00000117419/ENSG00000199568/ENSG00000160256/ENSG00000227057/ENSG00000115761/ENSG00000182583/ENSG00000117360/ENSG00000154548/ENSG00000184281/ENSG00000135900/ENSG00000100029/ENSG00000105373/ENSG00000116455/ENSG00000058729/ENSG00000130520/ENSG00000171490/ENSG00000152147/ENSG00000107833/ENSG00000165271/ENSG00000183207/ENSG00000137574/ENSG00000041802/ENSG00000170889/ENSG00000135521/ENSG00000147403/ENSG00000137876/ENSG00000171103/ENSG00000165732/ENSG00000164338/ENSG00000084092/ENSG00000084623/ENSG00000150990/ENSG00000255561/ENSG00000213553/ENSG00000101945/ENSG00000076924/ENSG00000145912/ENSG00000288920/ENSG00000100410/ENSG00000100462/ENSG00000164587/ENSG00000122085/ENSG00000148300/ENSG00000130713/ENSG00000100664/ENSG00000100138/ENSG00000131043/ENSG00000124787/ENSG00000177954/ENSG00000088205/ENSG00000112578/ENSG00000105171/ENSG00000160214/ENSG00000073536/ENSG00000124784/ENSG00000182117/ENSG00000179409/ENSG00000132603/ENSG00000124562/ENSG00000198000/ENSG00000105447/ENSG00000132275/ENSG00000111845/ENSG00000155393/ENSG00000144736/ENSG00000143751/ENSG00000089157/ENSG00000197498/ENSG00000105248/ENSG00000142541/ENSG00000135763/ENSG00000166133/ENSG00000130811/ENSG00000117481/ENSG00000162851/ENSG00000130810/ENSG00000115946/ENSG00000116922/ENSG00000242485/ENSG00000125743/ENSG00000278619/ENSG00000254858/ENSG00000178982/ENSG00000105618/ENSG00000151304/ENSG00000052749/ENSG00000135821/ENSG00000168028/ENSG00000171861/ENSG00000142684/ENSG00000122140/ENSG00000170854/ENSG00000112306/ENSG00000101782/ENSG00000105193/ENSG00000143748/ENSG00000142252/ENSG00000172336/ENSG00000083845/ENSG00000171806/ENSG00000105372/ENSG00000053372/ENSG00000141076/ENSG00000101361/ENSG00000130826/ENSG00000169976/ENSG00000146109/ENSG00000120158/ENSG00000001497/ENSG00000136718/ENSG00000177971/ENSG00000048162/ENSG00000119285/ENSG00000152464/ENSG00000179041/ENSG00000105671/ENSG00000065183/ENSG00000182810/ENSG00000146223/ENSG00000115268/ENSG00000117597/ENSG00000125485/ENSG00000233927/ENSG00000105202/ENSG00000133316/ENSG00000172409/ENSG00000077348/ENSG00000064703/ENSG00000141101/ENSG00000143319/ENSG00000143486/ENSG00000127804/ENSG00000198492"
"GO:0042274","ribosomal small subunit biogenesis",104,-0.601520000068127,-2.40104753848139,1.86150737451841e-10,2.72198915838955e-08,1.80321280147428e-08,4789,"tags=52%, list=19%, signal=42%","ENSG00000132591/ENSG00000186468/ENSG00000148296/ENSG00000147679/ENSG00000275464/ENSG00000142937/ENSG00000146909/ENSG00000142534/ENSG00000119616/ENSG00000182774/ENSG00000145425/ENSG00000163811/ENSG00000129347/ENSG00000007520/ENSG00000272047/ENSG00000114767/ENSG00000160256/ENSG00000227057/ENSG00000115761/ENSG00000058729/ENSG00000165271/ENSG00000170889/ENSG00000135521/ENSG00000164338/ENSG00000150990/ENSG00000288920/ENSG00000164587/ENSG00000100138/ENSG00000124787/ENSG00000177954/ENSG00000112578/ENSG00000124784/ENSG00000115946/ENSG00000151304/ENSG00000168028/ENSG00000112306/ENSG00000101782/ENSG00000105193/ENSG00000083845/ENSG00000105372/ENSG00000141076/ENSG00000101361/ENSG00000146109/ENSG00000120158/ENSG00000136718/ENSG00000177971/ENSG00000119285/ENSG00000179041/ENSG00000065183/ENSG00000115268/ENSG00000117597/ENSG00000233927/ENSG00000105202/ENSG00000141101"
"GO:0030490","maturation of SSU-rRNA",53,-0.704554316085118,-2.48790834470393,2.24106423093045e-09,2.34071155119861e-07,1.55063109662688e-07,3221,"tags=55%, list=13%, signal=48%","ENSG00000163811/ENSG00000129347/ENSG00000007520/ENSG00000272047/ENSG00000160256/ENSG00000227057/ENSG00000115761/ENSG00000058729/ENSG00000150990/ENSG00000164587/ENSG00000100138/ENSG00000124787/ENSG00000112578/ENSG00000124784/ENSG00000151304/ENSG00000101782/ENSG00000105193/ENSG00000105372/ENSG00000141076/ENSG00000146109/ENSG00000120158/ENSG00000136718/ENSG00000177971/ENSG00000119285/ENSG00000179041/ENSG00000065183/ENSG00000117597/ENSG00000233927/ENSG00000141101"
"GO:0140053","mitochondrial gene expression",162,-0.491213459678329,-2.08092963761339,5.95941354149580e-09,5.53279520701729e-07,3.66526336612298e-07,5165,"tags=61%, list=21%, signal=49%","ENSG00000120662/ENSG00000116874/ENSG00000278845/ENSG00000086504/ENSG00000118246/ENSG00000147586/ENSG00000130349/ENSG00000113048/ENSG00000266472/ENSG00000072756/ENSG00000101574/ENSG00000108826/ENSG00000262814/ENSG00000136522/ENSG00000125445/ENSG00000175581/ENSG00000175756/ENSG00000101391/ENSG00000116898/ENSG00000182768/ENSG00000174173/ENSG00000155846/ENSG00000149792/ENSG00000159111/ENSG00000257218/ENSG00000101181/ENSG00000132676/ENSG00000043514/ENSG00000167862/ENSG00000148824/ENSG00000183978/ENSG00000136463/ENSG00000267855/ENSG00000139131/ENSG00000061794/ENSG00000178952/ENSG00000125901/ENSG00000143374/ENSG00000174547/ENSG00000259494/ENSG00000182180/ENSG00000135297/ENSG00000112110/ENSG00000062582/ENSG00000085760/ENSG00000173141/ENSG00000029639/ENSG00000055950/ENSG00000155906/ENSG00000185608/ENSG00000137547/ENSG00000108064/ENSG00000214026/ENSG00000181610/ENSG00000156990/ENSG00000143314/ENSG00000135900/ENSG00000172590/ENSG00000177192/ENSG00000106105/ENSG00000126814/ENSG00000162910/ENSG00000182154/ENSG00000116221/ENSG00000099821/ENSG00000136897/ENSG00000171103/ENSG00000074071/ENSG00000172171/ENSG00000180992/ENSG00000169288/ENSG00000112031/ENSG00000122085/ENSG00000172586/ENSG00000118689/ENSG00000124279/ENSG00000100601/ENSG00000107815/ENSG00000158042/ENSG00000168286/ENSG00000128626/ENSG00000130348/ENSG00000162851/ENSG00000171612/ENSG00000112996/ENSG00000183617/ENSG00000156502/ENSG00000242485/ENSG00000167112/ENSG00000096080/ENSG00000254858/ENSG00000122140/ENSG00000171421/ENSG00000105364/ENSG00000182199/ENSG00000130312/ENSG00000204568/ENSG00000215251/ENSG00000179271"
